DOPPIATORE ORIGINALE,DOPPIATORE ITALIANO
Dan Castellaneta,Mino Caprio
Nancy Cartwright,Gaia Bolognesi
Julie Kavner,Sonia Scotti
Yeardley Smith,Monica Ward
Dan Castellaneta,Massimo Lopez
Harry Shearer,Sandro Iovino
Harry Shearer,Pasquale Anselmo
Hank Azaria,Manfredi Aliquò
Harry Shearer,Francesco Prando
Hank Azaria,Teo Bellia
Marcia Wallas,Monica Ward
Nancy Cartwright ,Laura Lenghi
Maggie Roswell,Liliana Sorrentino
Hank Azaria,Roberto Stocchi
Julie Kavner,Anna Rita Pasanini 
Julie Kavner,Anna Rita Pasanini 
Kelsey Grammer,Luca Ward
Dan Castellaneta,Giampiero Judica
Nancy Cartwright ,Alessia La Monica
Harry Shearer,Vittorio Amandola
